commodity_id,hs_code,commodity_desc,fish_type
143,304410000.0,"PACIFIC SALMON AND ATLANTIC SALMON FILLETS, FRESH OR CHILLED",Salmon
144,304410010.0,"ATLANTIC SALMON (SALMO SALAR) FILLETS, NOT FARMED, FRESH OR CHILLED",Salmon
145,304410090.0,"PACIFIC SALMON AND DANUBE SALMON FILLETS, FRESH OR CHILLED",Salmon
146,304420000.0,"TROUT FILLETS, FRESH OR CHILLED",Trout
147,304490012.0,"TILAPIA OTHER THAN OREOCHROMUS FILLETS, FRESH OR CHILLED",Tilapia
148,304510025.0,"TILAPIA (OREOCHROMIS) MEAT, OTHER THAN FILLETS, FRESH OR CHILLED",Tilapia
149,304520000.0,"SALMONIDAE MEAT, NESOI, FRESH OR CHILLED",Salmon
150,304520010.0,"ATLANTIC SALMON (SALMO SALAR) MEAT OTHER THAN FILLETS, NOT FARMED, FRESH OR CHIL",Salmon
151,304520020.0,"SALMON (OTHER THAN ATLANTIC SALMON) MEAT, OTHER THAN FILLETS, FRESH OR CHILLED",Salmon
152,304520090.0,"SALMONIDAE MEAT OTHER THAN FILLETS, FRESH OR CHILLED, NESOI",Salmon
153,304590030.0,"TILAPIA OTHER THAN OREOCHROMUS, MEAT OTHER THAN FILLETS, FRESH OR CHILLED",Tilapia
154,304610000.0,"TILAPIA FILLETS, FROZEN",Tilapia
155,304810000.0,"PACIFIC SALMON FILLETS, FROZEN",Salmon
156,304815010.0,"ATLANTIC SALMONIDAE (SALMON SALAR) FILLETS, FROZEN, NESOI",Salmon
157,304815090.0,"SALMONIDAE FILLETS, FROZEN, EXCEPT ATLANTIC SALMON, NESOI",Salmon
158,304820000.0,"TROUT FILLETS, FROZEN",Trout
159,304821000.0,"TROUT FILLETS, SKINNED, FROZEN BLOCKS WEIGHING OVER 4.5 KG EACH",Trout
160,304825000.0,"TROUT FILLETS, FROZEN, NESOI",Trout
161,305204020.0,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",Salmon
162,305410000.0,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",Salmon
163,305430000.0,"SMOKED TROUT, INCLUDING FILLETS, OTHER THAN EDIBLE OFFAL",Trout
164,305440000.0,"SMOKED TILAPIAS, CATFISH, CARP, EELS, NILE PERCH AND SNAKEHEADS, INCLUDING FILLE",Tilapia
165,305694000.0,"SALMON, SALTED BUT NOT DRIED OR SMOKED, IN BRINE",Salmon
166,306130000.0,"SHRIMPS AND PRAWNS, INCLUDING IN SHELL, FROZEN",Shrimp
167,306130003.0,SHRIMPS/PRAWNS SHELL-ON COUNT SIZE < 33 PER KG FRZ,Shrimp
168,306130006.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 33-45 PER KG FRZN,Shrimp
169,306130009.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 46-55 PER KG FRZN,Shrimp
170,306130012.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 56-66 PER KG FRZN,Shrimp
171,306130015.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 67-88 PER KG FRZN,Shrimp
172,306130018.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 89-110 PER KG FRZ,Shrimp
173,306130020.0,"SHRIMPS AND PRAWNS, SHELL-ON, FROZEN",Shrimp
174,306130021.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 111-132 PR KG FRZ,Shrimp
175,306130024.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 133-154 PR KG FRZ,Shrimp
176,306130027.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE MORE THAN 154 FRZ,Shrimp
177,306130040.0,"SHRIMPS AND PRAWNS, PEELED, FROZEN",Shrimp
178,306160003.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) LE",Shrimp
179,306160006.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 33",Shrimp
180,306160009.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 46",Shrimp
181,306160012.0,"COLD WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 56",Shrimp
182,306160015.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 67",Shrimp
183,306160018.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 89",Shrimp
184,306160021.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 11",Shrimp
185,306160024.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 13",Shrimp
186,306160027.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) MO",Shrimp
187,306160040.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, PEELED",Shrimp
188,306170003.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) LESS THAN 33 ",Shrimp
189,306170006.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 33-45 PER KG ",Shrimp
190,306170009.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 46-55 PER KG ",Shrimp
191,306170012.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 56-66 PER KG ",Shrimp
192,306170015.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 67-88 PER KG ",Shrimp
193,306170018.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 89-110 PER KG",Shrimp
194,306170021.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 111-132 PER K",Shrimp
195,306170024.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 133-154 PER K",Shrimp
